Timestamp,Channel,Location,Score,Reason
2020-07-30 09:04:59,Website,GB,9,It keeps crashing
2020-07-12 20:44:15,Website,ES,9,
2019-04-01 06:52:33,Mobile App,IE,6,
2019-07-17 20:36:37,Website,IT,6,It keeps crashing
2019-06-16 00:33:55,Mobile App,GB,10,It keeps crashing
2019-02-15 02:15:58,Website,IE,6,
2019-04-25 10:59:12,Website,IE,9,
2020-06-21 18:21:50,Mobile App,RU,6,It keeps crashing
2020-06-14 23:03:23,Website,MX,7,It keeps crashing
2019-09-20 07:23:27,Mobile App,IT,8,
2019-02-01 12:33:56,Website,ES,7,
2019-04-23 14:06:17,Website,DE,6,It keeps crashing
2019-03-10 23:31:21,Mobile App,MX,9,
2020-02-19 09:24:17,Website,US,10,It keeps crashing
2019-03-27 00:51:38,Mobile App,US,10,
2020-06-07 01:54:24,Mobile App,ES,6,
2019-03-01 00:44:43,Website,DK,9,
2019-04-10 21:46:07,Website,IT,10,It keeps crashing
2019-12-21 10:55:20,Website,DK,7,It keeps crashing
2019-11-13 16:50:06,Mobile App,MX,8,It keeps crashing
2020-05-04 13:30:05,Mobile App,MX,10,
2020-05-09 12:21:27,Mobile App,US,8,
2019-07-20 08:05:37,Website,GB,7,
2020-01-14 22:36:31,Mobile App,ES,10,It keeps crashing
2020-03-13 17:27:04,Website,RU,7,
2020-04-08 12:09:15,Mobile App,IE,6,
2019-04-15 10:51:16,Mobile App,IT,8,
2019-03-23 20:54:02,Mobile App,ES,10,
2020-08-14 10:14:24,Website,GB,8,It keeps crashing
2019-01-30 18:20:34,Mobile App,DK,6,It keeps crashing
2019-04-15 22:56:29,Mobile App,US,9,
2019-11-22 20:23:39,Mobile App,ES,8,
2020-01-02 09:02:56,Mobile App,ES,7,
2019-05-25 00:23:23,Mobile App,ES,10,It keeps crashing
2019-03-31 06:48:42,Website,ES,9,
2019-06-07 02:59:41,Mobile App,DE,8,It keeps crashing
2020-03-14 07:44:55,Mobile App,IT,8,
2020-01-22 23:34:26,Mobile App,MX,7,It keeps crashing
2019-07-29 03:30:48,Mobile App,IT,8,It keeps crashing
2019-09-16 14:24:35,Mobile App,US,6,It keeps crashing
2020-08-06 21:48:42,Mobile App,DE,10,
2019-05-05 16:36:55,Mobile App,GB,8,
2019-03-15 15:00:47,Mobile App,MX,10,
2019-05-25 00:41:46,Mobile App,US,9,
2020-05-22 12:49:56,Mobile App,ES,8,It keeps crashing
2019-09-11 06:20:27,Website,MX,7,
2020-06-14 04:47:39,Mobile App,DK,7,
2019-02-07 23:15:25,Website,GB,9,It keeps crashing
2019-11-06 04:46:24,Website,IE,9,
2019-08-06 04:30:28,Website,IE,9,
2019-08-06 16:16:48,Mobile App,DE,10,It keeps crashing
2020-02-12 04:23:56,Mobile App,ES,6,It keeps crashing
2019-04-10 13:08:56,Website,DE,8,It keeps crashing
2019-06-15 10:41:11,Mobile App,IT,8,
2019-10-02 07:11:03,Website,RU,9,It keeps crashing
2019-01-15 00:35:58,Mobile App,IT,10,
2019-11-23 15:08:03,Mobile App,IT,10,It keeps crashing
2019-01-03 19:19:49,Mobile App,DK,10,It keeps crashing
2019-02-06 18:55:48,Mobile App,DK,10,It keeps crashing
2020-08-05 18:24:36,Mobile App,US,10,It keeps crashing
2019-06-21 08:26:01,Website,IE,9,It keeps crashing
2019-12-23 11:55:21,Website,GB,8,
2020-07-28 12:30:53,Mobile App,DE,8,
2019-11-06 14:50:07,Mobile App,US,6,
2020-04-26 06:44:04,Mobile App,MX,9,It keeps crashing
2020-01-20 06:50:25,Website,DE,6,It keeps crashing
2019-02-07 13:59:05,Mobile App,RU,9,It keeps crashing
2019-11-19 12:04:17,Website,DK,9,It keeps crashing
2019-08-15 12:51:36,Mobile App,US,6,
2020-01-29 04:46:28,Website,IE,6,
2019-11-14 01:28:49,Website,DE,7,It keeps crashing
2019-10-25 17:58:08,Mobile App,DK,6,
2020-01-29 04:44:56,Mobile App,DE,9,
2020-08-11 08:49:21,Mobile App,IT,10,It keeps crashing
2020-02-08 19:34:34,Mobile App,GB,10,
2019-05-20 22:38:38,Mobile App,IT,7,It keeps crashing
2020-04-08 22:25:25,Website,ES,9,
2020-04-01 14:04:28,Website,MX,10,It keeps crashing
2020-05-13 01:07:30,Mobile App,RU,10,It keeps crashing
2019-01-13 21:05:18,Website,IT,8,
2019-10-31 03:17:26,Mobile App,IT,8,
2019-09-01 04:20:31,Mobile App,MX,6,It keeps crashing
2020-07-16 19:30:17,Website,MX,7,
2019-01-09 16:25:01,Website,IT,7,It keeps crashing
2019-04-13 08:59:56,Website,RU,6,It keeps crashing
2019-09-27 23:22:46,Mobile App,IT,9,
2020-02-06 03:29:14,Mobile App,RU,7,It keeps crashing
2019-07-31 00:07:48,Website,DE,7,
2019-08-10 19:58:00,Mobile App,IE,10,It keeps crashing
2020-04-06 16:54:42,Mobile App,MX,6,It keeps crashing
2020-02-24 23:34:00,Website,DK,9,It keeps crashing
2020-08-09 15:05:40,Mobile App,IT,9,
2020-06-10 20:51:58,Website,GB,7,
2019-05-11 05:46:40,Website,US,6,It keeps crashing
2020-04-11 15:21:59,Website,DK,6,It keeps crashing
2020-07-04 08:29:54,Mobile App,IT,6,It keeps crashing
2020-07-03 21:59:54,Mobile App,ES,8,It keeps crashing
2019-10-31 23:40:02,Website,IE,9,
2019-05-05 06:39:19,Mobile App,MX,9,
2019-11-30 08:15:05,Mobile App,RU,6,It keeps crashing
2019-05-05 15:37:02,Website,MX,10,
2019-01-23 02:58:08,Website,DK,9,It keeps crashing
2019-06-16 06:31:24,Website,IE,6,It keeps crashing
2019-02-11 15:21:25,Website,DK,9,
2020-05-31 19:41:35,Mobile App,IT,8,
2020-04-15 07:48:29,Website,IE,7,It keeps crashing
2020-05-30 03:54:30,Mobile App,DE,7,
2020-01-11 00:29:05,Website,ES,9,It keeps crashing
2020-08-11 18:21:51,Website,US,9,
2019-06-16 02:07:43,Website,DE,7,
2020-01-04 11:27:20,Mobile App,IE,10,It keeps crashing
2019-12-08 12:21:12,Website,DE,9,
2020-06-18 08:39:26,Website,US,8,
2020-05-26 20:21:10,Mobile App,DE,7,
2019-08-22 20:02:05,Website,GB,7,
2019-06-02 04:37:05,Website,DK,6,
2020-05-16 06:13:17,Website,IE,8,It keeps crashing
2019-11-01 14:11:14,Mobile App,GB,6,It keeps crashing
2020-06-11 08:59:07,Mobile App,US,9,
2019-04-28 08:34:42,Website,US,9,
2019-12-07 02:50:20,Mobile App,GB,6,
2020-08-03 08:20:59,Website,DK,6,It keeps crashing
2019-03-11 05:46:35,Website,RU,10,It keeps crashing
2020-02-29 17:19:43,Mobile App,IE,9,It keeps crashing
2019-06-28 18:37:13,Website,IT,9,
2019-11-02 11:28:18,Website,DK,9,
2019-08-20 01:54:39,Mobile App,DE,8,
2019-11-13 10:50:02,Website,DE,10,It keeps crashing
2019-01-30 05:15:33,Website,DE,9,
2019-11-24 02:50:24,Website,RU,9,
2019-10-17 19:24:30,Mobile App,IE,7,It keeps crashing
2019-01-02 07:30:18,Website,DE,8,It keeps crashing
2019-11-08 11:32:04,Website,US,8,
2019-03-30 11:24:37,Mobile App,MX,9,
2019-01-14 02:10:30,Mobile App,ES,10,
2019-08-26 11:49:25,Website,DK,10,
2020-04-26 06:36:08,Website,IE,9,
2020-03-18 19:38:48,Website,ES,8,
2020-02-21 03:59:55,Website,DK,7,It keeps crashing
2020-06-26 11:16:17,Mobile App,IE,6,
2019-04-21 12:15:17,Mobile App,IE,9,
2019-07-13 08:58:12,Mobile App,MX,7,
2019-02-14 15:00:36,Mobile App,IT,9,
2019-06-16 14:11:01,Mobile App,MX,7,It keeps crashing
2019-12-06 21:14:25,Mobile App,RU,7,
2019-04-05 09:48:27,Website,DE,6,It keeps crashing
2019-02-05 09:00:36,Website,MX,7,
2019-08-22 04:20:53,Mobile App,US,8,
2020-08-04 16:06:57,Mobile App,US,10,It keeps crashing
2019-07-30 16:18:50,Website,DE,6,It keeps crashing
2019-01-17 08:08:56,Website,ES,9,It keeps crashing
2019-12-09 06:51:45,Website,DE,6,
2020-02-01 23:42:02,Mobile App,GB,10,
2019-12-21 20:27:54,Mobile App,US,6,It keeps crashing
2019-09-16 18:19:52,Mobile App,RU,10,It keeps crashing
2020-03-26 04:39:42,Website,MX,9,It keeps crashing
2019-05-25 09:31:42,Website,US,10,It keeps crashing
2019-07-24 03:53:49,Mobile App,MX,8,
2020-04-24 11:57:20,Mobile App,IT,6,
2020-07-04 13:27:37,Website,DE,7,It keeps crashing
2020-04-24 22:44:59,Website,DK,6,
2019-07-12 04:34:37,Mobile App,MX,10,It keeps crashing
2020-07-24 17:09:06,Mobile App,ES,10,
2019-09-20 01:28:46,Mobile App,US,6,
2019-07-23 10:49:49,Mobile App,DE,7,It keeps crashing
2020-01-21 19:18:51,Mobile App,IE,6,It keeps crashing
2019-12-26 20:32:11,Website,GB,7,It keeps crashing
2019-03-12 18:36:32,Website,RU,10,It keeps crashing
2019-10-23 18:49:08,Website,IT,7,
2019-02-24 13:02:03,Website,DK,6,
2019-06-17 03:04:58,Mobile App,DK,7,It keeps crashing
2020-07-08 11:25:03,Mobile App,IE,8,
2019-09-12 00:20:34,Website,RU,6,It keeps crashing
2020-03-08 13:09:19,Website,ES,8,It keeps crashing
2019-06-02 12:01:45,Mobile App,DE,8,
2019-12-03 17:48:46,Mobile App,DE,6,It keeps crashing
2019-10-04 12:24:42,Website,US,9,It keeps crashing
2019-06-04 23:25:46,Mobile App,DE,6,
2019-07-09 06:06:03,Mobile App,GB,9,It keeps crashing
2020-08-08 12:17:26,Mobile App,DK,9,It keeps crashing
2020-04-15 13:23:13,Website,IT,6,It keeps crashing
2019-11-21 11:39:42,Mobile App,DE,10,
2020-01-27 06:10:15,Mobile App,DK,6,It keeps crashing
2019-12-10 17:55:05,Mobile App,DE,6,
2019-01-27 12:47:40,Mobile App,RU,10,It keeps crashing
2019-01-12 16:16:07,Website,GB,8,It keeps crashing
2020-07-20 12:00:17,Website,IT,7,
2019-03-08 05:30:21,Website,IT,8,It keeps crashing
2019-08-12 18:10:22,Mobile App,DK,10,
2019-10-23 13:40:45,Website,DE,10,
2019-10-17 21:57:37,Mobile App,IT,8,
2019-11-23 09:26:24,Website,GB,10,
2019-07-05 06:33:33,Mobile App,RU,7,
2019-03-15 05:42:34,Website,ES,6,It keeps crashing
2019-08-10 07:20:47,Website,DE,10,
2019-12-05 04:18:49,Website,RU,10,It keeps crashing
2019-01-04 16:34:56,Website,MX,7,It keeps crashing
2020-03-03 13:13:42,Mobile App,IT,6,It keeps crashing
2020-07-03 12:56:22,Website,GB,7,
2020-06-10 01:35:42,Website,US,8,
2019-10-09 07:26:08,Website,RU,8,It keeps crashing
2020-01-18 03:41:35,Mobile App,IT,7,
2020-01-25 09:27:48,Website,MX,9,
2020-01-26 12:47:57,Website,RU,8,
2020-05-21 03:55:08,Mobile App,ES,9,It keeps crashing
2019-12-11 12:52:01,Website,ES,9,
2019-12-30 04:05:24,Mobile App,MX,7,It keeps crashing
2019-07-28 18:07:08,Website,DE,9,
2019-08-06 20:12:37,Website,DE,9,It keeps crashing
2019-11-14 09:41:53,Mobile App,IT,10,It keeps crashing
2019-07-28 11:34:20,Mobile App,IE,7,
2020-07-01 22:15:32,Website,GB,10,
2019-08-20 08:25:40,Website,MX,6,It keeps crashing
2020-01-23 21:42:15,Mobile App,US,8,
2019-08-25 07:20:01,Mobile App,RU,7,
2019-06-03 07:06:39,Website,GB,7,
2020-01-21 18:10:01,Website,IE,8,It keeps crashing
2020-02-12 21:20:28,Website,US,6,
2019-06-03 19:34:30,Website,IE,6,
2019-07-05 13:42:17,Mobile App,RU,7,
2019-02-19 05:20:31,Mobile App,MX,9,It keeps crashing
2019-07-13 17:31:47,Mobile App,MX,8,
2019-10-24 12:52:09,Mobile App,DE,7,It keeps crashing
2019-03-24 03:39:21,Website,ES,6,It keeps crashing
2019-09-20 20:34:50,Website,IT,10,It keeps crashing
2019-12-07 11:35:10,Website,GB,6,It keeps crashing
2019-06-09 16:34:15,Website,RU,7,It keeps crashing
2019-07-06 15:31:38,Mobile App,IT,9,It keeps crashing
2020-05-26 17:14:58,Mobile App,MX,8,
2019-09-16 19:09:22,Mobile App,MX,6,It keeps crashing
2019-06-25 02:04:24,Mobile App,DK,7,It keeps crashing
2019-03-24 19:44:12,Website,GB,9,It keeps crashing
2019-10-12 06:36:09,Mobile App,DE,8,
2019-06-11 23:26:15,Mobile App,IE,8,It keeps crashing
2019-11-17 22:31:12,Mobile App,RU,10,
2020-02-24 05:22:01,Mobile App,DK,7,
2019-09-26 18:56:32,Mobile App,IT,7,
2019-12-09 13:50:39,Website,MX,6,It keeps crashing
2019-08-26 10:29:46,Website,ES,8,
2020-06-16 07:40:49,Website,DK,7,It keeps crashing
2020-01-29 22:41:34,Mobile App,US,7,
2019-01-19 15:08:46,Website,DE,8,It keeps crashing
2019-04-21 00:26:46,Mobile App,IE,7,
2019-04-23 14:39:36,Mobile App,DE,7,It keeps crashing
2019-12-17 08:44:58,Website,IT,6,It keeps crashing
2019-11-20 08:31:46,Mobile App,IT,10,It keeps crashing
2019-02-11 07:34:31,Mobile App,US,8,
2020-04-10 20:54:21,Mobile App,DK,7,It keeps crashing
2019-12-24 17:51:31,Website,ES,9,It keeps crashing
2019-09-04 17:57:27,Mobile App,IE,9,
2019-12-16 01:49:05,Website,GB,10,
2019-09-19 15:49:44,Website,ES,9,
2020-07-30 22:37:15,Website,DE,9,
2019-08-03 09:53:06,Mobile App,IE,9,It keeps crashing
2019-02-13 14:00:52,Mobile App,IE,6,
2020-02-26 20:07:17,Mobile App,IE,10,It keeps crashing
2019-06-15 12:31:36,Website,MX,6,
2020-06-04 08:30:51,Website,ES,6,
2020-03-21 12:28:17,Website,MX,6,It keeps crashing
2019-06-25 17:26:09,Mobile App,US,7,
2019-10-16 02:25:46,Mobile App,IT,8,It keeps crashing
2019-10-27 05:35:49,Website,GB,8,
2019-02-03 18:24:03,Website,IE,6,
2020-05-21 16:07:34,Website,RU,7,
2019-08-26 19:26:30,Mobile App,ES,6,
2020-08-08 21:56:01,Website,MX,6,It keeps crashing
2019-07-07 01:56:28,Website,RU,6,It keeps crashing
2019-08-09 05:41:00,Website,MX,9,It keeps crashing
2020-02-18 20:48:23,Website,US,9,It keeps crashing
2019-08-09 23:28:40,Website,RU,7,It keeps crashing
2019-08-07 20:48:13,Website,GB,8,
2019-04-15 21:15:30,Mobile App,DE,8,It keeps crashing
2020-04-05 23:42:15,Mobile App,GB,8,It keeps crashing
2020-07-04 15:54:35,Website,US,7,
2020-02-13 11:22:01,Mobile App,RU,10,
2019-03-07 21:00:09,Website,DK,6,It keeps crashing
2019-07-21 13:19:57,Website,RU,9,
2020-02-21 16:13:39,Mobile App,DE,6,
2019-12-25 02:25:47,Mobile App,ES,7,
2020-07-23 15:11:05,Website,IT,10,It keeps crashing
2019-04-02 01:41:54,Mobile App,US,7,
2019-03-11 00:44:07,Website,MX,8,It keeps crashing
2019-08-13 21:22:36,Website,MX,6,
2020-01-07 01:16:14,Website,MX,6,
2020-02-23 12:53:51,Website,DK,10,
2019-01-19 09:19:09,Mobile App,US,7,It keeps crashing
2019-04-03 06:54:56,Mobile App,DK,7,
2019-10-08 05:24:38,Website,DE,6,
2019-06-16 19:29:03,Mobile App,MX,10,It keeps crashing
2019-02-23 03:26:24,Website,DE,6,It keeps crashing
2019-05-12 17:09:54,Website,ES,10,
2020-08-07 02:05:38,Mobile App,IT,9,It keeps crashing
2019-11-26 07:23:55,Mobile App,RU,9,It keeps crashing
2019-06-09 20:57:46,Website,MX,9,
2019-06-01 18:17:57,Mobile App,US,6,It keeps crashing
2020-05-09 20:15:04,Mobile App,IT,6,
2019-07-21 10:34:08,Website,ES,8,It keeps crashing
2020-01-03 03:03:44,Mobile App,DE,7,It keeps crashing
2020-06-19 01:54:57,Website,ES,9,It keeps crashing
2019-03-01 07:57:12,Mobile App,ES,10,It keeps crashing
2019-03-24 21:15:56,Mobile App,MX,6,It keeps crashing
2019-05-07 15:28:35,Website,GB,8,
2020-05-13 19:57:02,Mobile App,US,6,
2020-08-10 03:05:41,Website,DE,8,
2020-05-07 08:25:45,Website,DK,6,It keeps crashing
2019-09-14 21:56:03,Mobile App,MX,9,
2019-09-29 08:33:59,Website,IT,10,
2020-03-17 00:32:16,Mobile App,GB,7,
2020-06-15 15:25:49,Website,DK,6,
2019-01-02 11:24:19,Mobile App,GB,10,
2019-05-28 23:42:17,Website,IT,7,It keeps crashing
2019-08-06 03:44:26,Website,RU,10,It keeps crashing
2019-08-19 23:54:48,Mobile App,IT,7,It keeps crashing
2019-03-04 11:12:04,Mobile App,ES,6,It keeps crashing
2020-01-07 04:17:54,Mobile App,IT,10,It keeps crashing
2020-01-25 03:35:13,Website,GB,7,
2020-06-28 18:16:27,Mobile App,IE,6,It keeps crashing
2019-06-01 20:40:07,Mobile App,DE,8,It keeps crashing
2020-02-11 02:25:22,Mobile App,DK,7,
2019-09-19 22:09:54,Mobile App,IE,6,It keeps crashing
2019-05-05 10:43:14,Mobile App,IE,9,It keeps crashing
2019-12-01 05:04:49,Mobile App,DE,9,It keeps crashing
2020-05-02 12:38:33,Website,IT,7,It keeps crashing
2020-04-03 15:27:53,Website,MX,8,
2020-01-10 17:54:26,Website,DE,7,
2020-03-06 06:15:43,Website,IT,10,
2019-12-18 20:12:33,Website,MX,8,
2020-03-20 17:22:29,Website,RU,8,It keeps crashing
2019-08-20 20:16:44,Website,ES,6,It keeps crashing
2019-08-03 13:00:24,Mobile App,DK,9,
2019-12-27 22:24:32,Mobile App,IT,8,
2019-07-02 19:10:12,Website,IE,7,It keeps crashing
2020-02-14 20:11:02,Website,RU,9,It keeps crashing
2019-10-23 01:02:09,Website,GB,7,
2019-08-31 00:53:14,Website,US,6,It keeps crashing
2020-05-31 21:20:48,Mobile App,DE,6,It keeps crashing
2020-06-15 01:00:46,Website,RU,7,It keeps crashing
2019-10-05 01:29:00,Mobile App,MX,9,It keeps crashing
2019-02-21 05:43:34,Website,IT,8,It keeps crashing
2020-06-30 13:24:25,Website,IE,9,
2020-05-24 09:43:11,Mobile App,ES,10,
2019-10-06 02:27:38,Mobile App,IE,10,It keeps crashing
2019-05-15 15:26:02,Mobile App,ES,8,It keeps crashing
2019-05-28 06:24:20,Mobile App,IE,10,It keeps crashing
2020-06-01 11:37:00,Mobile App,DK,6,
2019-12-01 13:35:45,Website,IE,10,It keeps crashing
2020-06-13 20:26:06,Mobile App,ES,9,
2019-06-11 14:46:44,Website,DE,8,
2019-01-31 07:26:51,Website,GB,9,It keeps crashing
2020-04-03 04:26:43,Mobile App,ES,9,
2019-09-14 14:35:36,Mobile App,MX,7,
2020-02-01 11:34:55,Mobile App,IE,7,It keeps crashing
2020-05-22 02:31:24,Mobile App,US,7,
2019-11-05 05:05:44,Website,IT,8,
2019-08-02 09:44:45,Mobile App,IT,9,It keeps crashing
2020-07-04 23:24:10,Website,ES,9,
2019-10-23 07:04:21,Mobile App,MX,10,It keeps crashing
2019-02-05 11:16:54,Website,IE,10,
2020-04-13 13:37:01,Mobile App,IT,6,It keeps crashing
2020-01-31 09:59:22,Mobile App,IE,10,It keeps crashing
2020-08-02 13:45:46,Mobile App,ES,6,
2019-04-24 17:54:43,Website,MX,8,
2019-05-24 02:09:39,Mobile App,ES,10,
2020-07-30 15:07:20,Website,ES,6,
2019-09-24 13:00:26,Mobile App,ES,8,It keeps crashing
2019-07-04 18:08:53,Website,ES,10,
2019-08-03 13:44:21,Website,DE,7,It keeps crashing
2020-02-28 11:16:44,Mobile App,MX,9,
2019-01-13 09:38:24,Mobile App,RU,7,It keeps crashing
2019-06-30 05:30:59,Mobile App,DE,7,It keeps crashing
2020-06-25 18:09:13,Website,DE,10,
2019-02-17 03:49:01,Website,RU,9,It keeps crashing
2020-06-29 02:50:34,Website,RU,8,It keeps crashing
2019-02-13 13:03:18,Website,US,6,It keeps crashing
2019-10-26 00:14:03,Website,MX,9,It keeps crashing
2020-04-21 05:19:38,Website,RU,6,It keeps crashing
2020-01-26 19:37:41,Website,IE,10,It keeps crashing
2020-05-05 17:21:54,Mobile App,RU,10,It keeps crashing
2020-01-08 08:54:38,Mobile App,IE,7,
2020-07-19 22:07:35,Website,GB,7,It keeps crashing
2019-06-17 21:25:58,Mobile App,ES,6,It keeps crashing
2019-01-25 11:18:55,Website,DE,10,It keeps crashing
2019-07-29 04:55:54,Website,US,6,
2019-04-08 10:27:47,Website,DE,7,
2019-02-12 15:35:48,Website,GB,7,It keeps crashing
2019-11-11 00:48:11,Mobile App,IT,8,It keeps crashing
2020-06-23 01:12:11,Website,RU,10,
2020-07-20 12:16:37,Mobile App,US,7,
2020-04-21 04:03:31,Mobile App,ES,8,
2019-01-29 05:58:22,Website,ES,10,
2019-03-18 23:08:51,Mobile App,RU,7,It keeps crashing
2019-05-02 02:03:34,Website,US,10,It keeps crashing
2019-04-18 05:15:38,Website,DE,10,It keeps crashing
2019-02-22 16:31:12,Website,US,7,
2020-02-01 22:07:03,Website,IE,8,
2019-08-14 03:40:03,Mobile App,GB,7,
2019-09-03 23:58:59,Website,ES,8,
2020-02-10 20:46:52,Website,ES,7,
2019-08-15 10:58:19,Mobile App,US,7,It keeps crashing
2019-07-06 11:24:25,Mobile App,DE,6,
2019-12-28 08:10:48,Website,DK,6,
2020-02-22 13:35:44,Website,IE,10,
2019-05-25 12:54:50,Mobile App,MX,6,It keeps crashing
2019-11-25 06:03:48,Mobile App,GB,10,
2019-01-14 09:34:35,Mobile App,ES,10,It keeps crashing
2019-06-15 21:45:59,Website,ES,9,
2019-03-30 21:57:34,Mobile App,IE,9,
2020-07-09 13:20:54,Website,US,9,
2019-05-21 08:29:41,Mobile App,DE,10,It keeps crashing
2019-08-19 14:58:25,Website,GB,9,It keeps crashing
2020-03-22 04:58:24,Mobile App,US,7,
2020-05-15 17:04:05,Mobile App,ES,9,It keeps crashing
2020-06-19 23:54:52,Website,MX,6,It keeps crashing
2019-11-28 11:24:50,Mobile App,MX,8,
2019-08-10 20:34:27,Website,MX,9,
2020-03-16 20:32:26,Website,MX,7,
2020-08-03 21:14:04,Mobile App,DE,10,It keeps crashing
2020-06-25 08:22:21,Website,MX,10,It keeps crashing
2020-07-30 02:38:06,Website,MX,10,
2019-04-07 02:07:56,Mobile App,US,10,It keeps crashing
2019-05-02 06:34:42,Mobile App,DE,6,
2019-03-17 04:29:33,Mobile App,DE,10,It keeps crashing
2019-04-17 15:11:03,Mobile App,ES,8,It keeps crashing
2019-08-02 23:07:09,Website,DK,10,It keeps crashing
2019-12-11 11:54:36,Website,US,6,
2020-06-25 22:04:36,Mobile App,IE,10,
2019-02-12 17:02:47,Mobile App,RU,8,
2019-03-16 13:43:06,Mobile App,DE,7,It keeps crashing
2019-07-27 17:19:13,Mobile App,RU,6,It keeps crashing
2020-01-29 10:33:56,Website,IT,8,
2019-08-01 23:47:41,Mobile App,DK,6,It keeps crashing
2020-05-06 06:36:28,Website,DK,7,
2019-03-15 17:37:31,Website,US,7,
2019-11-20 09:16:49,Website,DK,8,It keeps crashing
2019-09-12 20:31:46,Mobile App,MX,7,
2020-01-17 23:04:02,Website,MX,8,It keeps crashing
2020-07-01 19:21:50,Website,DK,6,It keeps crashing
2020-06-04 13:53:52,Mobile App,RU,8,It keeps crashing
2019-09-25 23:35:42,Mobile App,IT,6,It keeps crashing
2019-06-03 17:30:13,Website,IT,8,It keeps crashing
2019-01-18 18:00:35,Mobile App,IE,9,It keeps crashing
2020-01-09 06:41:34,Website,DE,7,
2019-08-13 21:34:19,Mobile App,DK,8,It keeps crashing
2019-09-28 05:27:47,Mobile App,DK,7,
2020-05-28 16:37:46,Website,ES,6,It keeps crashing
2020-07-14 01:16:48,Mobile App,DE,8,It keeps crashing
2020-02-06 10:00:15,Website,IT,9,It keeps crashing
2019-06-30 17:25:51,Mobile App,US,10,
2019-07-18 00:30:27,Mobile App,ES,8,
2019-03-23 03:50:41,Website,DK,6,
2020-02-13 13:32:46,Mobile App,MX,6,It keeps crashing
2019-10-07 05:10:20,Mobile App,DK,10,It keeps crashing
